variavel,lag,correlacao
delta_selic,0,-0.12448971555345857
delta_selic,1,-0.13758595441252228
delta_selic,2,-0.0016931836816514538
delta_selic,3,-0.011566370507676938
delta_selic,4,-0.05456950785202972
delta_selic,5,-0.02945686017513782
delta_selic,6,0.0009186781671319103
delta_ipca,0,-0.0037701697390572055
delta_ipca,1,0.033239339053134094
delta_ipca,2,-0.012533987532877744
delta_ipca,3,-0.04830132100769001
delta_ipca,4,-0.11953393386807426
delta_ipca,5,0.016590206360095297
delta_ipca,6,0.002294519368334679
var_dolar,0,-0.5811197691825896
var_dolar,1,0.02112869618080421
var_dolar,2,0.1522123945568781
var_dolar,3,0.09443109660387994
var_dolar,4,-0.038615607214855
var_dolar,5,-0.09976770254558519
var_dolar,6,0.1406819484420645
ibc_var,0,0.14261244299792397
ibc_var,1,-0.07614713439273779
ibc_var,2,-0.14317252405985167
ibc_var,3,0.04900155995768937
ibc_var,4,0.10069254576462298
ibc_var,5,-0.04567003954990386
ibc_var,6,-0.09950095502709554
