subsetor,delta_ipca,delta_selic,ibc_var,var_dolar
Agropecuária,0.003059432867613817,-0.003793143397939823,0.3674789177825843,-0.32867653124849494
Alimentos Processados,-0.029721882595376604,-0.02650173978439517,-0.0905995180073293,-0.5912014599198807
Automóveis e Motocicletas,-0.03345874921451808,-0.020564677004023958,-0.19226418766797992,-1.2093208101020916
Bebidas,-0.0018387093462984595,0.005800845828180008,0.63525540093482,-0.4151785698128905
Computadores e Equipamentos,-0.0006479606824250032,-0.03757445126087938,-0.6296365299961683,-1.389573280494865
Comércio Varejista,-0.04696700136805246,-0.05835281030064961,0.3459317249014817,-1.469632551180493
Comércio e Distribuição,-0.01777470728304424,-0.03540221757118328,-0.13808565440361292,-0.9178382217664591
Construção Civil,-0.039697588428120135,-0.047379025577071354,0.808299177065275,-1.496475439229806
Construção e Engenharia,-0.02405898241132389,-0.021794991669098453,0.893816290590296,-1.130545046685886
Diversos,-0.03942607914670441,-0.043062340517749376,0.5125560188787701,-1.239207228328684
Embalagens,-0.0063005210224794245,-0.0010446228224577497,0.7976070940510127,-0.9520807157536061
Energia Elétrica,-0.01625212313427453,-0.013552482163406685,0.2603468227837745,-0.6200033541102139
Equipamentos,-0.028316499374215303,-0.008241522601378188,1.616297629481097,-0.394021762447055
Exploração de Imóveis,-0.01349142060328113,-0.03521407629470343,0.5158476559199946,-0.9969402498022486
Gás,-0.004997253968766216,-0.012259167756858137,1.2263870911901087,-0.23290197456195935
Holdings Diversificadas,-0.0032536863686935293,-0.012407549115656627,0.4595446351490928,-0.7425930842885072
Hoteis e Restaurantes,-0.02613511819512354,-0.047064922722843294,0.677618130145274,-1.127116109573493
Intermediários Financeiros,-0.016462550493251564,-0.028662374460209562,0.500155706732437,-0.9033401019006952
Madeira e Papel,-0.009606996879830028,-0.028784193450159437,0.39562952766178805,-0.34808791385483795
Materiais Diversos,0.02622518569501866,-0.0620383273874385,1.211907488348877,-1.1849387166001235
Material de Transporte,0.002260141747781959,-0.02946038639852668,0.9339044501419942,-0.6815495665191518
Medicamentos e Outros Produtos,-0.012363923961616261,-0.046702849812654476,0.7887811980519537,-0.4204351639870879
Mineração,0.011234503492485313,-0.02454299903578572,0.04741054397371591,-0.701467804168936
Máquinas e Equipamentos,-0.030557856499263167,-0.03832901159064995,0.8692238189100947,-0.8126679809488282
Outros,-0.014237632348900391,-0.05461293574625431,0.4811060909509134,-0.5660887593947517
"Petróleo, Gás e Biocombustíveis",-0.028725043593942,-0.03907933101388367,-0.32931449673107493,-1.3893908100658425
Previdência e Seguros,-0.018447131694203152,-0.014275451182609863,0.6028870499799613,-0.7315074438782436
Produtos de Cuidado Pessoal e de Limpeza,-0.030740001136426692,-0.08015094989379928,-0.2632668751435968,-1.2759247475596722
Programas e Serviços,-0.024095187404977313,-0.059794856138944655,0.251368501980062,-0.7347733937986766
Químicos,-0.02164540315900755,-0.023732224159152014,0.10685069134021574,-0.690720182753216
"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.011734606550399845,-0.03405949430028172,-0.057389209176920364,-0.7081669063757137
Serviços,-0.05769463742272386,-0.012206608136745047,-0.05569780519605444,-1.0338649874558965
Serviços Financeiros Diversos,-0.011142409747375431,-0.050356015113362254,0.4507696007236988,-0.933658195543816
Siderurgia e Metalurgia,-0.031458084802720096,-0.023565864703425025,0.4648682238990002,-1.008634517667907
"Tecidos, Vestuário e Calçados",-0.014690247025458443,-0.02831793790090504,0.6655863234216144,-1.0773730111323951
Telecomunicações,0.011909052045531186,-0.08542659724962945,-0.028826121386988035,-0.8051148022540212
Transporte,-0.03270692859927294,-0.04848195429651108,0.7221861711484401,-1.3907426108767194
Utilidades Domésticas,-0.006834753457264229,-0.04697779884814436,0.8456703621957067,-0.8216953270232377
Viagens e Lazer,-0.012904604291853486,-0.021603556309348293,0.7112123653228318,-1.1788955849377896
Água e Saneamento,-0.011402651837813242,-0.03433404792825322,0.40327585504796104,-0.9080818634770043
