subsetor,delta_ipca_lag
Outros,-2.7108044588943634
Computadores e Equipamentos,-1.6436630953774476
Serviços,-1.454968725076119
Materiais Diversos,-1.3222692743519129
Programas e Serviços,-0.900144025067996
Construção e Engenharia,-0.8230756647271947
Material de Transporte,-0.7349134300728558
Embalagens,-0.7173171314850514
Serviços Financeiros Diversos,-0.6747160590889268
Transporte,-0.6450974838409556
Viagens e Lazer,-0.6366098110987872
Produtos de Cuidado Pessoal e de Limpeza,-0.605590377556926
Químicos,-0.5721704404766125
Comércio Varejista,-0.5274667598375408
Automóveis e Motocicletas,-0.4969931209987905
Utilidades Domésticas,-0.42726109317300875
Holdings Diversificadas,-0.3505326264596797
Agropecuária,-0.3442288662528593
Madeira e Papel,-0.30503848370611614
Bebidas,-0.24244276319068275
Telecomunicações,-0.196907316321772
"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.08434205472602803
Máquinas e Equipamentos,-0.04952274226501468
Diversos,-0.020786134538231676
Intermediários Financeiros,0.07124406424873171
Comércio e Distribuição,0.1415712228184322
Energia Elétrica,0.6752971432326574
Previdência e Seguros,0.6994114135980147
"Tecidos, Vestuário e Calçados",0.9404252204786792
"Petróleo, Gás e Biocombustíveis",0.98130024695167
Alimentos Processados,0.9988753990690106
Mineração,0.9995031630141819
Siderurgia e Metalurgia,1.0037874706845744
Medicamentos e Outros Produtos,1.004736661835729
Hoteis e Restaurantes,1.3162957958556059
Exploração de Imóveis,1.365846472105718
Construção Civil,1.41172997952677
Gás,1.5115785477082164
Água e Saneamento,1.5218777153267133
Equipamentos,1.8433814221301674
