subsetor,ibc_var_lag
Materiais Diversos,-3.319434118996722
Outros,-2.7538572149328258
Telecomunicações,-1.7219638745796975
Computadores e Equipamentos,-1.345215970776228
Água e Saneamento,-1.1516511702167342
Bebidas,-1.0707160025220823
Químicos,-0.953535477389742
Comércio e Distribuição,-0.8613623087415089
Produtos de Cuidado Pessoal e de Limpeza,-0.6809514603858904
Alimentos Processados,-0.5871580418448215
"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.5402192204439656
Programas e Serviços,0.00901709421355484
Comércio Varejista,0.05103757864282215
Siderurgia e Metalurgia,0.09947132361659226
Energia Elétrica,0.1133036427551436
Hoteis e Restaurantes,0.17404156736162074
Madeira e Papel,0.20861502099840165
Automóveis e Motocicletas,0.24339945847592784
Holdings Diversificadas,0.2448921769367377
Serviços Financeiros Diversos,0.2881819065559319
Serviços,0.3003633321094238
Diversos,0.3186172850979614
Intermediários Financeiros,0.38084264521399047
Exploração de Imóveis,0.40493384818015354
Viagens e Lazer,0.46327720754530666
"Petróleo, Gás e Biocombustíveis",0.4916952782986173
Previdência e Seguros,0.5240525426934679
Transporte,0.5460346335971021
"Tecidos, Vestuário e Calçados",0.576785214869662
Embalagens,0.5982793106124398
Agropecuária,0.6451612121685137
Máquinas e Equipamentos,0.6603177404457837
Construção e Engenharia,0.6869942616128846
Construção Civil,0.6938881691642087
Utilidades Domésticas,0.7258845529059507
Medicamentos e Outros Produtos,0.7954694524066265
Material de Transporte,0.8207341524715498
Gás,1.0320345180403396
Equipamentos,1.4357246313423995
Mineração,1.4530151024971023
