subsetor,delta_selic_lag
Bebidas,2.867666771434453
Gás,1.6933559681268846
Energia Elétrica,1.5481060671582592
Agropecuária,1.0238303214511169
Alimentos Processados,0.9328385533452749
Embalagens,0.7663207717076191
Previdência e Seguros,0.7591601496313589
Intermediários Financeiros,0.7083073326097945
Equipamentos,0.6360955417748381
"Tecidos, Vestuário e Calçados",0.592344620744541
Construção e Engenharia,0.45983149911057436
Holdings Diversificadas,0.4594203934182337
Viagens e Lazer,0.4156335974239098
Comércio e Distribuição,0.38085390633463584
"Serv.Méd.Hospit.,Análises e Diagnósticos",0.3475587934112766
Água e Saneamento,0.19824515856424232
Siderurgia e Metalurgia,0.19761781067038434
Automóveis e Motocicletas,0.18743288413023873
Exploração de Imóveis,0.12149074398769343
Outros,0.11320365352461025
Material de Transporte,0.05454956356381747
Mineração,-0.07413261286122307
Diversos,-0.12938385794730337
Medicamentos e Outros Produtos,-0.13038562618411248
"Petróleo, Gás e Biocombustíveis",-0.13918924391086077
Serviços,-0.20996635025703872
Hoteis e Restaurantes,-0.31649279162239463
Transporte,-0.37839436655357916
Máquinas e Equipamentos,-0.46236073409383355
Madeira e Papel,-0.4762716700936188
Serviços Financeiros Diversos,-0.48019422943267126
Computadores e Equipamentos,-0.5878728498090621
Utilidades Domésticas,-0.623094581212078
Químicos,-0.693814584174047
Construção Civil,-0.7882189693024247
Comércio Varejista,-0.9585751155951556
Programas e Serviços,-1.0168166519860424
Materiais Diversos,-2.185506158272511
Produtos de Cuidado Pessoal e de Limpeza,-2.3775480207145003
Telecomunicações,-2.435645688101298
